
> cotizador-e3@0.1.0 dev
> next dev

▲ Next.js 16.2.4 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://172.25.192.1:3000
- Environments: .env
✓ Ready in 327ms

 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 200ms (next.js: 119ms, proxy.ts: 21ms, application-code: 59ms)
✓ Compiled in 130ms
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 293ms (next.js: 85ms, proxy.ts: 19ms, application-code: 189ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 295ms (next.js: 140ms, proxy.ts: 20ms, application-code: 134ms)
 GET /sw.js 404 in 94ms (next.js: 14ms, proxy.ts: 3ms, application-code: 78ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 260ms (next.js: 86ms, proxy.ts: 25ms, application-code: 149ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 241ms (next.js: 150ms, proxy.ts: 7ms, application-code: 83ms)
 GET /sw.js 404 in 91ms (next.js: 15ms, proxy.ts: 3ms, application-code: 73ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 278ms (next.js: 77ms, proxy.ts: 19ms, application-code: 182ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 261ms (next.js: 126ms, proxy.ts: 7ms, application-code: 128ms)
 GET /sw.js 404 in 78ms (next.js: 13ms, proxy.ts: 4ms, application-code: 61ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 217ms (next.js: 20ms, proxy.ts: 8ms, application-code: 188ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 398ms (next.js: 129ms, proxy.ts: 21ms, application-code: 248ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 216ms (next.js: 83ms, proxy.ts: 9ms, application-code: 124ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 404ms (next.js: 78ms, proxy.ts: 22ms, application-code: 304ms)
 GET /sw.js 404 in 106ms (next.js: 19ms, proxy.ts: 6ms, application-code: 80ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 227ms (next.js: 19ms, proxy.ts: 8ms, application-code: 200ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 225ms (next.js: 57ms, proxy.ts: 6ms, application-code: 162ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 406ms (next.js: 74ms, proxy.ts: 22ms, application-code: 310ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 406ms (next.js: 124ms, proxy.ts: 21ms, application-code: 260ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 194ms (next.js: 13ms, proxy.ts: 7ms, application-code: 173ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 367ms (next.js: 119ms, proxy.ts: 17ms, application-code: 231ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 199ms (next.js: 37ms, proxy.ts: 4ms, application-code: 158ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 373ms (next.js: 75ms, proxy.ts: 18ms, application-code: 281ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 313ms (next.js: 95ms, proxy.ts: 22ms, application-code: 196ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 314ms (next.js: 151ms, proxy.ts: 22ms, application-code: 140ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 326ms (next.js: 97ms, proxy.ts: 20ms, application-code: 209ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 312ms (next.js: 166ms, proxy.ts: 6ms, application-code: 140ms)
 GET /sw.js 404 in 66ms (next.js: 13ms, proxy.ts: 3ms, application-code: 50ms)
✓ Compiled in 65ms
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 476ms (next.js: 55ms, proxy.ts: 25ms, application-code: 396ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 476ms (next.js: 85ms, proxy.ts: 24ms, application-code: 367ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 474ms (next.js: 168ms, proxy.ts: 22ms, application-code: 284ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 475ms (next.js: 191ms, proxy.ts: 21ms, application-code: 262ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 481ms (next.js: 114ms, proxy.ts: 23ms, application-code: 344ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 835ms (next.js: 77ms, proxy.ts: 22ms, application-code: 736ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 492ms (next.js: 146ms, proxy.ts: 23ms, application-code: 324ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 487ms (next.js: 242ms, proxy.ts: 19ms, application-code: 226ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 658ms (next.js: 51ms, proxy.ts: 8ms, application-code: 599ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 493ms (next.js: 218ms, proxy.ts: 21ms, application-code: 254ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 842ms (next.js: 125ms, proxy.ts: 21ms, application-code: 696ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 665ms (next.js: 17ms, proxy.ts: 9ms, application-code: 639ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 480ms (next.js: 81ms, proxy.ts: 24ms, application-code: 375ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 485ms (next.js: 49ms, proxy.ts: 26ms, application-code: 410ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 482ms (next.js: 121ms, proxy.ts: 23ms, application-code: 338ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 483ms (next.js: 145ms, proxy.ts: 30ms, application-code: 308ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 467ms (next.js: 200ms, proxy.ts: 16ms, application-code: 251ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 464ms (next.js: 232ms, proxy.ts: 15ms, application-code: 216ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 465ms (next.js: 283ms, proxy.ts: 15ms, application-code: 167ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 464ms (next.js: 336ms, proxy.ts: 14ms, application-code: 114ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 349ms (next.js: 76ms, proxy.ts: 21ms, application-code: 251ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 349ms (next.js: 178ms, proxy.ts: 20ms, application-code: 151ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 128ms (next.js: 23ms, proxy.ts: 16ms, application-code: 88ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 124ms (next.js: 43ms, proxy.ts: 17ms, application-code: 65ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 305ms (next.js: 81ms, proxy.ts: 18ms, application-code: 206ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 306ms (next.js: 128ms, proxy.ts: 16ms, application-code: 161ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 130ms (next.js: 52ms, proxy.ts: 17ms, application-code: 61ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 134ms (next.js: 25ms, proxy.ts: 17ms, application-code: 91ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 325ms (next.js: 99ms, proxy.ts: 21ms, application-code: 205ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 325ms (next.js: 155ms, proxy.ts: 20ms, application-code: 151ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 129ms (next.js: 29ms, proxy.ts: 16ms, application-code: 84ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 125ms (next.js: 45ms, proxy.ts: 20ms, application-code: 61ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 390ms (next.js: 149ms, proxy.ts: 14ms, application-code: 227ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 415ms (next.js: 94ms, proxy.ts: 15ms, application-code: 306ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 219ms (next.js: 32ms, proxy.ts: 25ms, application-code: 162ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 212ms (next.js: 107ms, proxy.ts: 17ms, application-code: 88ms)
 GET /sw.js 404 in 72ms (next.js: 14ms, proxy.ts: 4ms, application-code: 54ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 223ms (next.js: 72ms, proxy.ts: 18ms, application-code: 133ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 206ms (next.js: 117ms, proxy.ts: 4ms, application-code: 85ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 242ms (next.js: 171ms, proxy.ts: 24ms, application-code: 47ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 245ms (next.js: 131ms, proxy.ts: 20ms, application-code: 94ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 294ms (next.js: 93ms, proxy.ts: 20ms, application-code: 181ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 281ms (next.js: 181ms, proxy.ts: 6ms, application-code: 94ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 318ms (next.js: 76ms, proxy.ts: 20ms, application-code: 222ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 303ms (next.js: 136ms, proxy.ts: 5ms, application-code: 162ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 222ms (next.js: 75ms, proxy.ts: 20ms, application-code: 127ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 226ms (next.js: 135ms, proxy.ts: 21ms, application-code: 69ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 211ms (next.js: 132ms, proxy.ts: 21ms, application-code: 59ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 215ms (next.js: 78ms, proxy.ts: 21ms, application-code: 116ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 244ms (next.js: 81ms, proxy.ts: 21ms, application-code: 142ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 251ms (next.js: 139ms, proxy.ts: 20ms, application-code: 91ms)
 GET /sw.js 404 in 74ms (next.js: 14ms, proxy.ts: 3ms, application-code: 57ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 479ms (next.js: 12ms, proxy.ts: 4ms, application-code: 463ms)
 GET /sw.js 404 in 38ms (next.js: 5ms, proxy.ts: 3ms, application-code: 29ms)
 GET /api/export/pdf/cmq79547x00016wu65yh7vuv8 200 in 302ms (next.js: 44ms, proxy.ts: 3ms, application-code: 254ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 103ms (next.js: 13ms, proxy.ts: 3ms, application-code: 87ms)
 GET /sw.js 404 in 34ms (next.js: 5ms, proxy.ts: 3ms, application-code: 25ms)
 GET /sw.js 404 in 42ms (next.js: 7ms, proxy.ts: 4ms, application-code: 30ms)
✓ Compiled in 31ms
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 904ms (next.js: 74ms, proxy.ts: 19ms, application-code: 811ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 691ms (next.js: 69ms, proxy.ts: 8ms, application-code: 614ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 700ms (next.js: 25ms, proxy.ts: 9ms, application-code: 666ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 916ms (next.js: 147ms, proxy.ts: 18ms, application-code: 751ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 570ms (next.js: 121ms, proxy.ts: 32ms, application-code: 417ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 576ms (next.js: 89ms, proxy.ts: 34ms, application-code: 453ms)
